

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

174.093  000.500  000.500: sourcing /Users/mario/.vim/bundle/vim-surround/plugin/surround.vim
175.004  000.358  000.358: sourcing /Users/mario/.vim/bundle/vim-sandwich/plugin/operator/sandwich.vim
175.316  000.235  000.235: sourcing /Users/mario/.vim/bundle/vim-sandwich/plugin/sandwich.vim
175.559  000.166  000.166: sourcing /Users/mario/.vim/bundle/vim-sandwich/plugin/textobj/sandwich.vim
176.048  000.232  000.232: sourcing /Users/mario/.vim/bundle/tabular/plugin/Tabular.vim
176.497  000.187  000.187: sourcing /Users/mario/.vim/bundle/vim-easy-align/plugin/easy_align.vim
177.036  000.289  000.289: sourcing /Users/mario/.vim/bundle/vim-fetch/plugin/fetch.vim
178.568  001.275  001.275: sourcing /Users/mario/.vim/bundle/vim-bookmarks/plugin/bookmark.vim
178.962  000.122  000.122: sourcing /Users/mario/.vim/bundle/undoquit.vim/plugin/undoquit.vim
179.305  000.052  000.052: sourcing /Users/mario/.vim/bundle/nvim-colorizer.lua/plugin/colorizer.vim
179.738  000.221  000.221: sourcing /Users/mario/.vim/bundle/nvim-lsp-installer/plugin/nvim-lsp-installer.vim
180.100  000.098  000.098: sourcing /Users/mario/.vim/bundle/nvim-lspconfig/plugin/lspconfig.vim
181.241  000.871  000.871: sourcing /Users/mario/.vim/bundle/vim-rake/plugin/rake.vim
181.718  000.200  000.200: sourcing /Users/mario/.vim/bundle/vim-livedown/plugin/livedown.vim
182.341  000.367  000.367: sourcing /Users/mario/.vim/bundle/vim-yaml-helper/plugin/vim-yaml-helper.vim
182.733  000.123  000.123: sourcing /Users/mario/.vim/bundle/vim-esearch/plugin/esearch.vim
183.543  000.580  000.580: sourcing /Users/mario/.vim/bundle/vim-concertina/plugin/concertina.vim
184.150  000.243  000.243: sourcing /Users/mario/.vim/bundle/vim-asterisk/plugin/asterisk.vim
